pubchem_cid	pubchem_url	drugcentral_id	drugcentral_url	glytoucan_ac	glytoucan_url
2480	https://pubchem.ncbi.nlm.nih.gov/compound/2480	3050	https://drugcentral.org/drugcard/3050		
2481	https://pubchem.ncbi.nlm.nih.gov/compound/2481	441	https://drugcentral.org/drugcard/441		
2482	https://pubchem.ncbi.nlm.nih.gov/compound/2482	3051	https://drugcentral.org/drugcard/3051		
2484	https://pubchem.ncbi.nlm.nih.gov/compound/2484	444	https://drugcentral.org/drugcard/444		
2513	https://pubchem.ncbi.nlm.nih.gov/compound/2513	3058	https://drugcentral.org/drugcard/3058		
2515	https://pubchem.ncbi.nlm.nih.gov/compound/2515	461	https://drugcentral.org/drugcard/461		
2519	https://pubchem.ncbi.nlm.nih.gov/compound/2519	463	https://drugcentral.org/drugcard/463		
2520	https://pubchem.ncbi.nlm.nih.gov/compound/2520	2815	https://drugcentral.org/drugcard/2815		
2528	https://pubchem.ncbi.nlm.nih.gov/compound/2528	1789	https://drugcentral.org/drugcard/1789		
2536	https://pubchem.ncbi.nlm.nih.gov/compound/2536	471	https://drugcentral.org/drugcard/471		
2537	https://pubchem.ncbi.nlm.nih.gov/compound/2537	470	https://drugcentral.org/drugcard/470		
2540	https://pubchem.ncbi.nlm.nih.gov/compound/2540	475	https://drugcentral.org/drugcard/475		
2551	https://pubchem.ncbi.nlm.nih.gov/compound/2551	488	https://drugcentral.org/drugcard/488		
2554	https://pubchem.ncbi.nlm.nih.gov/compound/2554	489	https://drugcentral.org/drugcard/489		
2557	https://pubchem.ncbi.nlm.nih.gov/compound/2557	491	https://drugcentral.org/drugcard/491		
2562	https://pubchem.ncbi.nlm.nih.gov/compound/2562	494	https://drugcentral.org/drugcard/494		
2564	https://pubchem.ncbi.nlm.nih.gov/compound/2564	499	https://drugcentral.org/drugcard/499		
2569	https://pubchem.ncbi.nlm.nih.gov/compound/2569	503	https://drugcentral.org/drugcard/503		
2576	https://pubchem.ncbi.nlm.nih.gov/compound/2576	509	https://drugcentral.org/drugcard/509		
2577	https://pubchem.ncbi.nlm.nih.gov/compound/2577	511	https://drugcentral.org/drugcard/511		
2578	https://pubchem.ncbi.nlm.nih.gov/compound/2578	512	https://drugcentral.org/drugcard/512		
2580	https://pubchem.ncbi.nlm.nih.gov/compound/2580	517	https://drugcentral.org/drugcard/517		
2581	https://pubchem.ncbi.nlm.nih.gov/compound/2581	518	https://drugcentral.org/drugcard/518		
2582	https://pubchem.ncbi.nlm.nih.gov/compound/2582	519	https://drugcentral.org/drugcard/519		
2583	https://pubchem.ncbi.nlm.nih.gov/compound/2583	520	https://drugcentral.org/drugcard/520		
2585	https://pubchem.ncbi.nlm.nih.gov/compound/2585	522	https://drugcentral.org/drugcard/522		
2662	https://pubchem.ncbi.nlm.nih.gov/compound/2662	568	https://drugcentral.org/drugcard/568		
2663	https://pubchem.ncbi.nlm.nih.gov/compound/2663	569	https://drugcentral.org/drugcard/569		
2678	https://pubchem.ncbi.nlm.nih.gov/compound/2678	581	https://drugcentral.org/drugcard/581		
2680	https://pubchem.ncbi.nlm.nih.gov/compound/2680	582	https://drugcentral.org/drugcard/582		
2681	https://pubchem.ncbi.nlm.nih.gov/compound/2681	3082	https://drugcentral.org/drugcard/3082		
2682	https://pubchem.ncbi.nlm.nih.gov/compound/2682	4750	https://drugcentral.org/drugcard/4750		
2683	https://pubchem.ncbi.nlm.nih.gov/compound/2683	3083	https://drugcentral.org/drugcard/3083		
2684	https://pubchem.ncbi.nlm.nih.gov/compound/2684	584	https://drugcentral.org/drugcard/584		
2707	https://pubchem.ncbi.nlm.nih.gov/compound/2707	586	https://drugcentral.org/drugcard/586		
2708	https://pubchem.ncbi.nlm.nih.gov/compound/2708	588	https://drugcentral.org/drugcard/588		
2710	https://pubchem.ncbi.nlm.nih.gov/compound/2710	593	https://drugcentral.org/drugcard/593		
2712	https://pubchem.ncbi.nlm.nih.gov/compound/2712	594	https://drugcentral.org/drugcard/594		
2717	https://pubchem.ncbi.nlm.nih.gov/compound/2717	603	https://drugcentral.org/drugcard/603		
2719	https://pubchem.ncbi.nlm.nih.gov/compound/2719	607	https://drugcentral.org/drugcard/607		
