cv_id	glytoucan_ac	pubchem_ac
5287805	G80812WN	5287805
5287806	G91924WY	5287806
5287808	G26320VF	5287808
5287993	G41078PD	5287993
5288272	G61399NC	5288272
5288275	G00068MO	5288275
5288276	G46248BN	5288276
5288277	G23034ZK	5288277
5288278	G57548NB	5288278
5288293	G39023AU	5288293
5288294	G65372SM	5288294
5288340	G95894VW	5288340
5288347	G00031MO	5288347
5288350	G67988RO	5288350
5288355	G41327HW	5288355
5288356	G92561HL	5288356
5288360	G81345OW	5288360
5288361	G51591NI	5288361
5288378	G42003FG	5288378
5288408	G12182VX	5288408
5288409	G91368RN	5288409
5288413	G59925KQ	5288413
5288420	G33695HX	5288420
5288421	G05704WW	5288421
5288424	G91237TK	5288424
5288427	G99976JK	5288427
5288428	G00025MO	5288428
5288732	G66787RA	5288732
5288734	G39767HX	5288734
5288738	G00091RT	5288738
5288739	G53402KW	5288739
5288743	G29301NP	5288743
5288744	G75411YK	5288744
5288745	G00619DD	5288745
5288756	G09899NJ	5288756
5288765	G34646VD	5288765
5288766	G83092KI	5288766
5288768	G00891MP	5288768
5288769	G78926JO	5288769
5288770	G58879KH	5288770
5288772	G71885AB	5288772
5288884	G71817IG	5288884
5288885	G19266OP	5288885
5288886	G83663RK	5288886
5288888	G85856KC	5288888
5288889	G00061MO	5288889
5288893	G98135ER	5288893
5288896	G36414FS	5288896
5288898	G01361SX	5288898
5288902	G83540EL	5288902
5288903	G19089MC	5288903
5288905	G21469TE	5288905
5288907	G92606DY	5288907
5288910	G61459JW	5288910
5288921	G22768VO	5288921
5288963	G92805XC	5288963
5288967	G34442SS	5288967
5288972	G07670VS	5288972
5288973	G93613RO	5288973
5289009	G18253ON	5289009
5289010	G19524AS	5289010
5289011	G54826OZ	5289011
5289352	G78706CK	5289352
5289353	G12295TB	5289353
5289361	G14000ZZ	5289361
5289366	G30207PZ	5289366
5289367	G83513YI	5289367
5289369	G63069TR	5289369
52921575	G81596CU	52921575
52921582	G69726TU	52921582
52921591	G02240AO	52921591
52921594	G50886AE	52921594
52921598	G96504YE	52921598
52921604	G25651TK	52921604
52921608	G63114QE	52921608
52921613	G64973KT	52921613
52921614	G99348KL	52921614
52921616	G46885EU	52921616
52921638	G45207BM	52921638
52921646	G72027KO	52921646
52921653	G94435QH	52921653
52921654	G35778AN	52921654
52921655	G73108NW	52921655
